title,Patent_Category,center
CNT based crack growth detector and strain field monitor,Physical Sciences,NASA Langley Research Center
Fabrication of Nanovoid-imbedded Bismuth Telluride with Low Dimensional System,Chemical Sciences,NASA Langley Research Center
A Deconvolution Approach For The Mapping Of Acoustic Sources (DAMAS) Determined From Phased Microphone Arrays,Chemical Sciences,NASA Langley Research Center
"Magnetic Field Response Measurement Acquisition System (Includes LAR-16138-1, LAR-16554-1, LAR-16591-1, LAR-16614-1, LAR-16617-1, & LAR-16908-1)",Chemical Sciences,NASA Langley Research Center
Blowing Flap Side Edge,Other,NASA Langley Research Center
Ferroelectric Light Control Device,Physical Sciences,NASA Langley Research Center
Fabrication of Multilayer Ferritin Array for Bionanobattery,Chemical Sciences,NASA Langley Research Center
Method For Determining Cracks On And Within Composite Panels,Chemical Sciences,NASA Langley Research Center
"Methods Of Mounting Erectable, Flexible And Fixed Magnetic Field Response Sensors",Sensors,NASA Langley Research Center
Rotor Blade Vortex Management Via Boundary Layer Separation Control,Chemical Sciences,NASA Langley Research Center
Thermally Driven Miniature Piston Actuator,Mechanics,NASA Langley Research Center
Enhanced Separation Control Via Simultaneous Multiple-Location Forcing,Chemical Sciences,NASA Langley Research Center
A New Concept For Active Bistable Twisting Structures,Other,NASA Langley Research Center
Applications Of Twin-Detection XRD Methods On SiGe (111) Layers On Sapphire (0001) Substrate,Chemical Sciences,NASA Langley Research Center
Interdigitated Electrode Actuators For Straining Optical Fibers (IDEAS),Mechanics,NASA Langley Research Center
Nanotubular Toughening Inclusions For Improved Mechanical Reinforcement,Chemical Sciences,NASA Langley Research Center
Multi-Layer Electroactive Devices,Other,NASA Langley Research Center
Wireless Fuel Volume Measurement Techniques,Chemical Sciences,NASA Langley Research Center
A Method For Producing Stable Dispersions Of Single Walled Carbon Nanotubes In Polymer Matrices Using Noncovalent Interactions,Chemical Sciences,NASA Langley Research Center
Method And Apparatus For Loss Of Control Inhibitor Systems,Technology,NASA Langley Research Center
Fabrication of Metal Nanoshells Derived by a Biotemplate,Chemical Sciences,NASA Langley Research Center
A Method For Producing Multifunctional Structural Thermally Stable Nanocomposites With Aligned Carbon Nanotubes,Chemical Sciences,NASA Langley Research Center
Sprayable Low Temperature Oxidation Catalyst Coating Based on Sol-Gel Technology,Chemical Sciences,NASA Langley Research Center
Sol-Gel Based Oxidation Catalyst And Coating System Using Same (Divisional of -1),Chemical Sciences,NASA Langley Research Center
Wireless Fluid-Lead Measuring Dipstick Assembly (Broken Out Of LAR-16974-1),Chemical Sciences,NASA Langley Research Center
"Liquid Crystalline Thermosets From Ester, Ester-Imide, And Ester-Amide Oligomers",Chemical Sciences,NASA Langley Research Center
Multi-axis Accelerometer Calibration System Using a Cuboidal Attitude Positioning Device,Chemical Sciences,NASA Langley Research Center
Method To Prepare Hybrid Metal/Composite Laminates By Resin Infusion,Chemical Sciences,NASA Langley Research Center
Cylindrical Shaped Micro Fiber Composite (CMFC) Actuators,Mechanics,NASA Langley Research Center
Hybrid Force/Stress Amplified Piezoelectric Energy Harvesting Transducer System,Physical Sciences,NASA Langley Research Center
Floating Ultrasonic Transducer Inspection System For Nondestructive Evaluation,Chemical Sciences,NASA Langley Research Center
New Configuration and Power Technology for Application-Specific Scenarios of High Altitude Airships,Chemical Sciences,NASA Langley Research Center
Effective Dispersion of Carbon Nanotubes in an Aqueous Solution and Their Application on Bionanotechnology,Chemical Sciences,NASA Langley Research Center
Thin-film evaporative cooling concept for a solid-state laser diode crystal,Chemical Sciences,NASA Langley Research Center
"Multi-Point, Multi-Component Interferometric Rayleigh/Mie Doppler Velocimeter",Other,NASA Langley Research Center
Photonic DART (Densely Accumulated Ray-point by micro-zone-plaTe),Chemical Sciences,NASA Langley Research Center
Computational Visual Servo:Automatic Measurement and Control for Smart Image Enhancement,Chemical Sciences,NASA Langley Research Center
Optical Data Storage System with Micro Zone Plate,Other,NASA Langley Research Center
MICRO-RING THIN-FILM SPECTROMETER ARRAY,Other,NASA Langley Research Center
Variable Visibility Glasses for Flight Training,Physical Sciences,NASA Langley Research Center
Use of Beam Deflection to Control Electron Beam Wire Deposition Processes,Chemical Sciences,NASA Langley Research Center
Detecting the loss of configuration access of reprogrammable Field Programmable Gate Array (FPGA) without external circuitry,Chemical Sciences,NASA Langley Research Center
Method of Depositing Metals onto Carbon Allotropes and Compositions Therefrom,Chemical Sciences,NASA Langley Research Center
Integrated mitigation for single event upset (SEU) of reprogrammable field programmable gate arrays (FPGA) operating in radiation environments,Chemical Sciences,NASA Langley Research Center
Magnetic Field Response Measurement Acquisition System,Chemical Sciences,NASA Langley Research Center
"Miniature, Low-Power X-Ray Tube Using A Microchannel Electron Generator Electron Source",Physical Sciences,NASA Langley Research Center
Advance Display Media for Improved Airport Surface Operations,Chemical Sciences,NASA Langley Research Center
Control Device And Method For Generating Control Signals For Technical Devices,Other,NASA Langley Research Center
Low Profile Sensors Using Self-Resonating Inductors,Sensors,NASA Langley Research Center
System For Providing Damage Detection And Thermal Protection,Chemical Sciences,NASA Langley Research Center
A Method and Apparatus for Determination of the Reflection Wavelength of Multiple Low-Reflectivity Bragg Gratings in a Single Fiber,Chemical Sciences,NASA Langley Research Center
Low Mass Free Piston Space Radiator,Aerospace,NASA Langley Research Center
Extreme Low Frequency Acoustic Measurement Portable System,Other,NASA Langley Research Center
Extreme Low Frequency Acoustic Measurement System,Other,NASA Langley Research Center
Preparation of Metal Nanowire Decorated Carbon Allotropes,Chemical Sciences,NASA Langley Research Center
"Ultra High-Temperature, Lightweight Insulation Material Compositions And Methods For Making And Using Them",Chemical Sciences,NASA Langley Research Center
Concept And Design Of Oxygen Band Radar For Surface Air Pressure Remote Sensing,Chemical Sciences,NASA Langley Research Center
Unsteady aerodynamic reduced-order models (ROMs) for efficient aeroelastic analysis,Physical Sciences,NASA Langley Research Center
Standardized Radiation Shield Design Method: 2005 HZETRN,Chemical Sciences,NASA Langley Research Center
Multi Functional Composite And Honeycomb Panels,Chemical Sciences,NASA Langley Research Center
Active Flow Effectors by Embedded Shape Memory Alloy Actuation,Mechanics,NASA Langley Research Center
Jet Engine Exhaust Nozzle Flow Effector,Physical Sciences,NASA Langley Research Center
Extension Of DAMAS Phased Array Processing For Spatial Coherence Determination (DAMAS-C),Chemical Sciences,NASA Langley Research Center
Thermoelectric Devices From Thin Metal System To Include Flexible Substrate And Method Of Making Same,Other,NASA Langley Research Center
"A Method of Providing a Synthetic Vision System Flight Management Visualization Display for Aiding Pilot Preview, Rehearsal and/or Review and Real-Time Visual Acquisition of Flight Mission Progress",Chemical Sciences,NASA Langley Research Center
Airfoil/ Wing Flow Control Using Flexible Extended Trailing Edge,Other,NASA Langley Research Center
Boundary-Layer-Ingesting S-Duct Diffusing Inlet Flow Control Using Hybrid Vane/Jet Approach at Transonic Flow Conditions,Chemical Sciences,NASA Langley Research Center
"Thermoelectric material made with highly oriented twinned alloy of Si, Ge, C, and Sn on the basal plane of trigonal substrate and thermoelectric device made with the same material",Other,NASA Langley Research Center
Advanced High Performance Vertical Hybrid Electroactive Synthetic Jet Actuator (ASJA-V),Mechanics,NASA Langley Research Center
Advanced Modified High Performance Synthetic Jet Actuator With Optimized Curvature Shape Chamber (ASJA-M),Mechanics,NASA Langley Research Center
Apparatus For Free Electron Laser Ablative Synthesis Of Carbon Nanotubes,Chemical Sciences,NASA Langley Research Center
Fine-Grained Targets For Free Electron Laser Synthesis Of Carbon Nanotubes,Chemical Sciences,NASA Langley Research Center
Process For Optimizing The Yield And Production Rate Of Single-Walled Carbon Nanotubes Using Free Electron Laser Synthesis,Chemical Sciences,NASA Langley Research Center
Advanced High Performance Horizontal Piezoelectric Hybrid Synthetic Jet Actuator (ASJA-H),Mechanics,NASA Langley Research Center
A Byzantine-Fault Tolerant Self-Stabilizing Protocol for Distributed Clock Synchronization Systems,Chemical Sciences,NASA Langley Research Center
"Wholly Aromatic Liquid Crystalline Polyetherimide (LC-PEI) Resin for manufacturing high modulus fibers, films, injection molded articles and foams",Chemical Sciences,NASA Langley Research Center
Hybrid Bandgap Engineering for Rhombohedral Super-Hetero-Epitaxy,Physical Sciences,NASA Langley Research Center
Nanoparticle-Containing Thermoplastic Composites and Methods of Preparing Same,Chemical Sciences,NASA Langley Research Center
Micro Spectrometer for Parallel Light,Physical Sciences,NASA Langley Research Center
Tailorable Dielectric Materials with Complex Permittivity Characteristics providing High Dielectric Constants and Low Loss Factors,Other,NASA Langley Research Center
Forward Voltage Short Pulse (FVSP) Technique for Measuring High Power Laser Diode Array (LDA) Junction Temperature,Chemical Sciences,NASA Langley Research Center
A Multi-Measurement Wheel Sensor,Sensors,NASA Langley Research Center
Resonant Difference-Frequency Atomic Force Ultrasonic Microscope,Physical Sciences,NASA Langley Research Center
Wireless Tamper Detection Sensor Requiring No Electrical Connection,Sensors,NASA Langley Research Center
Multifunctional Boost Protective Cover (MBPC) For A Launch Abort System (LAS),Chemical Sciences,NASA Langley Research Center
A Nanotube Film Electrode and an Electroactive Device Fabricated with the Nanotube Film Electrode and Methods for Making Same,Other,NASA Langley Research Center
Micro Ring Grating Spectrometer with Moveable Aperture Slit,Other,NASA Langley Research Center
Auxiliary Electrode For Electrospinning Process,Other,NASA Langley Research Center
Integration Of A Turbo-Fan Engine Above An Aircraft's Wing Which Reduces Drag And Community Noise,Chemical Sciences,NASA Langley Research Center
A Method To Calibrate Magnetic Response Fluid-Level Sensors Using Complete Sensor Immersion In Fluid,Sensors,NASA Langley Research Center
Composition of and Method to Prepare Hybrid Laminates from Metal Plasma Coated Fibers and Polymer Matrix Resins,Chemical Sciences,NASA Langley Research Center
Metal/Fiber Laminate and Fabrication Using A Porous Metal/Fiber Preform,Chemical Sciences,NASA Langley Research Center
Jet Engine Nozzle Exit Configurations And Associated Systems And Methods,Chemical Sciences,NASA Langley Research Center
Thin-Film Sensor For Measuring Liquid-Level And Temperature Having No Electrical Connections,Sensors,NASA Langley Research Center
"Conducting Nanotubes Or Nanostructures Based Composites, Method Of Making Them And Applications",Chemical Sciences,NASA Langley Research Center
Quick Change Ceramic Flame Holder for High Output Torch,Technology,NASA Langley Research Center
Flame Holder System,Other,NASA Langley Research Center
Mars Airplane,Other,NASA Langley Research Center
Adaptive Refinement Tools (ARTs) for Tetrahedral Unstructured Grids,Other,NASA Langley Research Center
Lightweight Lunar Surface Remote Manipulator System (LSRMS),Physical Sciences,NASA Langley Research Center
High Pressure Boron Vaporization Synthesis Of Few-Walled Boron Nitride Nanotube Fibers,Chemical Sciences,NASA Langley Research Center
Development Of Eddy Current Techniques For The Detection Of Stress Corrosion Cracking In Space Shuttle Primary Reaction Control Thrusters,Chemical Sciences,NASA Langley Research Center
Line Tunable Visible and Ultraviolet Laser,Technology,NASA Langley Research Center
NEW RHOMBOHEDRAL ALIGNMENT OF CUBIC SEMICONDUCTOR ON TRIGONAL SUBSTRATE AT A HIGH TEMPERATURE,Chemical Sciences,NASA Langley Research Center
X-ray Diffraction Wafer Mapping Method for  Rhombohedral Super-Hetero-Epitaxy,Chemical Sciences,NASA Langley Research Center
Front-Flight-Path Turbulence & Vortex Detection System,Chemical Sciences,NASA Langley Research Center
Air Coupled Acoustic Thermography Nondestructive Evaluation System And Method,Chemical Sciences,NASA Langley Research Center
Innovative Structural Design And Materials For Transmission To And Protection Of Ultraviolet And Infrared Radiation Sensors,Sensors,NASA Langley Research Center
Wireless Chemical Sensing Using Changes To An Electrically Conductive Reactant Within Sensor's Magnetic Field,Sensors,NASA Langley Research Center
Open Circuit Damage Location Sensor Having No Electrical Connections,Sensors,NASA Langley Research Center
Methodology for calculating fiber distribution during electrospinning,Chemical Sciences,NASA Langley Research Center
A Self-Stabilizing Byzantine-Fault-Tolerant Clock Synchronization Protocol,Chemical Sciences,NASA Langley Research Center
A Method for Shape Determination of Multi-Core Optical Fiber,Chemical Sciences,NASA Langley Research Center
Distributed transducer capable of generating or sensing a transverse point load,Biological Sciences,NASA Langley Research Center
PICA on Edge: Edgewise strips of PICA ablator to eliminate gaps in capsule heat shield,Other,NASA Langley Research Center
Fractal Dielectric Microstrip Antenna using Patterned Substrate Material Geometries,Physical Sciences,NASA Langley Research Center
Domain Decomposition By the Advancing-Partition Method for Parallel Unstructured Grid Generation,Chemical Sciences,NASA Langley Research Center
Local Intelligence Based Impedance Optimization Scheme for Adaptive Noise Reduction,Chemical Sciences,NASA Langley Research Center
DIRECTED DESIGN OF EXPERIMENTS FOR VALIDATING PROBABILITY OF DETECTION CAPABILITY OF NDE SYSTEMS (DOEPOD),Chemical Sciences,NASA Langley Research Center
Device for the Large-Scale synthesis of High-Quality Boron Nitride Nanotubes,Other,NASA Langley Research Center
Thermally-Activated Crack Healing Mechanism for Metallic Materials,Other,NASA Langley Research Center
System for Repairing Cracks in Structures,Other,NASA Langley Research Center
System for Repairing Cracks in Structures,Other,NASA Langley Research Center
Negative Dielectric Constant Material Based on Ion Conducting Materials,Chemical Sciences,NASA Langley Research Center
A Synthetic Quadrature Phase Detector/Demodulator for Fourier Transform Spectrometers,Chemical Sciences,NASA Langley Research Center
Vapor-Barrier Vacuum Isolation System,Chemical Sciences,NASA Langley Research Center
Asymmetric Dielectric Elastomer Composite Material,Chemical Sciences,NASA Langley Research Center
Tunable damper capable of tailoring the structural damping for individual modes of vibration using minimal space and minimal impact on the system frequencies and mode shapes.,Chemical Sciences,NASA Langley Research Center
Increased Efficiency Nonlinear Optical Interactions,Chemical Sciences,NASA Langley Research Center
Wireless Electrical Applications/Devices Using  floating Electrodes  Electromagnetically Coupled to Open-Circuit Devices,Chemical Sciences,NASA Langley Research Center
Novel material for wound healing applications.,Chemical Sciences,NASA Langley Research Center
Electroactive polymer fibers for structural health monitoring.,Other,NASA Langley Research Center
"Assessment and Calibration of Crimp Tool Equipped with Ultrasonic Analysis, including Phantom Construction",Chemical Sciences,NASA Langley Research Center
Controlled Deposition And Alignment Of Carbon Nanotubes (Continuation of LAR 16499-1),Chemical Sciences,NASA Langley Research Center
Sensory Metallic Materials,Sensors,NASA Langley Research Center
Reconfigurable Peripheral Component Interconnect local bus controller and target design.,Chemical Sciences,NASA Langley Research Center
"Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",Chemical Sciences,NASA Langley Research Center
Autonomous Leading-Edge Slat Device for Reduction of Aeroacoustic Noise Associated with Aircraft Wings,Chemical Sciences,NASA Langley Research Center
Temperature Sensing Using Temperature Sensitive Dielectric Material in Proximity to Open-Circuit Sensors Having No Electrical Connections,Sensors,NASA Langley Research Center
No Moving Part - Variable Frequency Fluidic Oscillator,Other,NASA Langley Research Center
Wireless Temperature Sensor Having No Electrical Connections and Sensing Method for Use Therewith,Sensors,NASA Langley Research Center
Exfoliation of Hexagonal Boron Nitride,Chemical Sciences,NASA Langley Research Center
Multilayer Electroactive Polymer Composite Material (Continuation of LAR 17112-1),Chemical Sciences,NASA Langley Research Center
Method for Closed Loop Process Control for Electron Beam Freeform Fabrication and Deposition Processes,Chemical Sciences,NASA Langley Research Center
Modifying Surface Energy via Laser Ablative Surface Patterning,Technology,NASA Langley Research Center
Process to Fabricate Specific Sized Monodisperse Polystryene Microparticles,Other,NASA Langley Research Center
"Boron Nitride Nanotube Fibrils and Yarns  (Filed by JLabs, their ref: ID 1248/Docket 2025(JSA)",Other,NASA Langley Research Center
Smart Optics Material Characterization System,Chemical Sciences,NASA Langley Research Center
Electroactive scaffold,Other,NASA Langley Research Center
Apparatus and Method for Selective Enhancement of Surface Plasmon Polaritons to Initiate and Sustain Low Energy Nuclear Reactions in Metal Hydride Systems,Chemical Sciences,NASA Langley Research Center
Realtime 3-D Image Processing and Enhancement,Physical Sciences,NASA Langley Research Center
Method for generating laser linear frequency modulation waveform,Chemical Sciences,NASA Langley Research Center
"Coherent Doppler lidar for measuring altitude, ground velocity, and air velocity of aircraft and spaceborne vehicles",Physical Sciences,NASA Langley Research Center
Durable Joining Technology for Uniformly-Curved Composite Sandwich Structures,Chemical Sciences,NASA Langley Research Center
"Systems, Apparatuses, and Methods for Using Durable Adhesively Bonded Joints for Sandwich Structures",Other,NASA Langley Research Center
Actuators and Sensors Fabricated with Boron Nitride Nanotubes (BNNTs) and BNNT Polymer Composites,Mechanics,NASA Langley Research Center
Blended Cutout Flap Design for the Reduction of Jet-Flap Interaction Noise,Chemical Sciences,NASA Langley Research Center
Aircraft Engine Nozzle Systems for Jet Noise Reduction by Acoustic Shielding,Chemical Sciences,NASA Langley Research Center
Active Aircraft Pylon Noise Control System,Biological Sciences,NASA Langley Research Center
Sub-Surface Windscreen for Outdoor Measurement of Infrasound,Other,NASA Langley Research Center
High Mobility Transport Layer Structures for Rhombohedral Si/Ge/SiGe Devices,Other,NASA Langley Research Center
"Spectroscopy using Electric Permittivity, Magnetic Permeability and Electrical Conductivity Spatial Profiles",Physical Sciences,NASA Langley Research Center
Flexible Thin Metal Film Thermal Sensing System (CIP of LAR 17346-1),Biological Sciences,NASA Langley Research Center
A GPS-Based Pitot-Static Calibration Method Using Global Output-Error Optimization,Navigation,NASA Langley Research Center
Team Electronic Gameplay Combining Different Means of Control,Physical Sciences,NASA Langley Research Center
Method and Apparatus to Detect Wire Pathologies Near Crimped Connector,Chemical Sciences,NASA Langley Research Center
Interrogations Leading to Recertification of Wire Crimps and Other Joining Technologies.,Chemical Sciences,NASA Langley Research Center
"Time Shifted PN Codes for CW LIDAR, RADAR, and SONAR",Other,NASA Langley Research Center
3-D Super Resolution Algorithm for Flash LIDAR Image Enhancement,Chemical Sciences,NASA Langley Research Center
Method and System for Physiologically Modulating Videogames or Simulations Which Use Motion-Sensing Input Devices,Chemical Sciences,NASA Langley Research Center
Neutron and Ultraviolet Radiation Shielding Films Fabricated Using Boron Nitride Nanotubes and Boron Nitride Nanotube Composites,Chemical Sciences,NASA Langley Research Center
Abnormal Grain Growth Suppression in Aluminum Alloys,Chemical Sciences,NASA Langley Research Center
New Photogrammetry System to Measure Relative 6-Degree-of-Freedom Motion Between Two Bodies Using Heterogeneous Cameras Having Arbitrary Wide-Angle Lenses with Non-Overlapping Fields of View,Chemical Sciences,NASA Langley Research Center
High Kinetic Energy Penetrator Shielding and High Wear Resistance Materials Fabricated with Boron Nitride Nanotubes (BNNTs) and BNNT Polymer Composites,Chemical Sciences,NASA Langley Research Center
Z-Shields from Fiber Metal Laminate,Other,NASA Langley Research Center
Z-Shields from Fiber Metal Laminate,Other,NASA Langley Research Center
Arbitrary Shape Initialization of Fiber Optic Shape Sensing Systems,Chemical Sciences,NASA Langley Research Center
A Method of Creating Micro-scale Silver Telluride Grains Covered with Bismuth Nanospheres as Nano-bridges for Thermoelectric Application,Chemical Sciences,NASA Langley Research Center
Linear Fresnel Spectrometer Chip with Gradient Line Grating,Other,NASA Langley Research Center
Multi-Point Interferometric Phase Change Detection Algorithm,Chemical Sciences,NASA Langley Research Center
Wireless Open-Circuit In-Plane Strain and Displacement Sensors Having No Electrical Connections,Sensors,NASA Langley Research Center
Method of Making a Composite Panel Having Subsonic Transverse Wave Speed Characteristics (Continuation of LAR 16535-1),Chemical Sciences,NASA Langley Research Center
Wide Bandwidth Magneto-Resistive Sensor Based Eddy Current Probe,Sensors,NASA Langley Research Center
Relaxor Piezoelectric Single Crystal Multilayer Stacks for Energy Harvesting Transducers (RPSEHT),Chemical Sciences,NASA Langley Research Center
BxCyNz Nanotube Formation via the Pressurized Vapor/Condenser,Chemical Sciences,NASA Langley Research Center
Efficient Boron Nitride Nanotube (BNNT) and BxCyNz Nanotube Formation via Combined Laser-Gas Flow Levitation (JLab's ref: 2010-09-13-RRW),Chemical Sciences,NASA Langley Research Center
Variable Stiffness Shape Adaptive Multi-Layered Polymer Composite,Chemical Sciences,NASA Langley Research Center
Space Utilization Optimization Tools,Chemical Sciences,NASA Langley Research Center
FLEXible Side Edge Link (FLEXSEL) for Trailing-Edge Flap Aeroacoustic Noise Reduction,Chemical Sciences,NASA Langley Research Center
An Acoustic Beamforming Array Using Feedback-Controlled Microphones for Tuning and Self-Matching of Frequency Response (Michigan State University's ref: TEC2011-0045),Chemical Sciences,NASA Langley Research Center
A Self-Stabilizing Distributed Clock Synchronization Protocol For Arbitrary Digraphs,Chemical Sciences,NASA Langley Research Center
Production Rig for the Synthesis of BNNTs via the PVC Method,Chemical Sciences,NASA Langley Research Center
Locomotion of Amorphous Surface Robots,Chemical Sciences,NASA Langley Research Center
Locomotion of Amorphous Surface Robots,Chemical Sciences,NASA Langley Research Center
"Manufacturing of Low Mass, Large-Scale Hierarchical Thin Film Structural Systems",Other,NASA Langley Research Center
Nanostructure Neutron Converter Layer Development,Other,NASA Langley Research Center
Crimp Quality Assessment from Jaw Position-Ultrasonic Transmission Analysis,Chemical Sciences,NASA Langley Research Center
Crimp Quality Assessment from Jaw Position-Ultrasonic Transmission Analysis,Chemical Sciences,NASA Langley Research Center
Wireless Temperature Sensor Having No Electrical Connections and Sensing Method For Use Therewith,Sensors,NASA Langley Research Center
Flap Side Edge Liners for Airframe Noise Reduction,Chemical Sciences,NASA Langley Research Center
Landing Gear Door Liners for Airframe Noise Reduction,Chemical Sciences,NASA Langley Research Center
External Acoustic Liners for Multi-Functional Aircraft Noise Reduction,Chemical Sciences,NASA Langley Research Center
Synthesis of Novel Copoly(imide oxetane)s with Unique Surface Properties,Other,NASA Langley Research Center
A Structural Joint With Multi-Axis Load Carrying Capacity,Other,NASA Langley Research Center
Fast Tracking Methods and Systems for Air Traffic Modeling Using a Monotonic Lagrangian Grid (US Naval Research Laboratory ref: 100148-US2),Other,NASA Langley Research Center
Compact Active Vibration Control System,Chemical Sciences,NASA Langley Research Center
A Multifunctional Lightning Protection and Detection System for Aerospace Vehicles,Chemical Sciences,NASA Langley Research Center
Multi-Functional BN-BN Composite,Chemical Sciences,NASA Langley Research Center
Variable Acceleration Force Calibration System,Chemical Sciences,NASA Langley Research Center
Transparent and Ubiquitous Sensing Technology,Biological Sciences,NASA Langley Research Center
Using Ubiquitous Conductor to Power and Interrogate Wireless Passive Sensors and Construct Sensor Network,Sensors,NASA Langley Research Center
Doped Chiral Polymer Negative Index Materials (DCPNIM),Other,NASA Langley Research Center
Flight Deck Technology and Procedure for Pilots to Generate Flight-Optimizing Trajectory Requests that Avoid Nearby Traffic,Physical Sciences,NASA Langley Research Center
Synchronized Sweeping Jet Actuators,Mechanics,NASA Langley Research Center
Synergistic Chemical and Topographical Surface Modifications and Articles of Manufacture for Dynamic Insect Adhesion Mitigation,Chemical Sciences,NASA Langley Research Center
Puncture- healing Thermoplastic Resin Carbon Fiber Reinforced Composites towards More Damage/Impact Tolerant Systems,Chemical Sciences,NASA Langley Research Center
Modeling of Laser Ablation and Plume Chemistry in a Boron Nitride Nanotube Production Rig,Chemical Sciences,NASA Langley Research Center
In-situ Mechanical Property Measurements of Amorphous Carbon-boron Nitride Nanotube,Chemical Sciences,NASA Langley Research Center
Method and System for Physiologically Modulating Videogames and Simulations Which Use Gesture and Body Image Sensing Control Input Devices,Chemical Sciences,NASA Langley Research Center
Tension Stiffened and Tendon Actuated Space Manipulators,Chemical Sciences,NASA Langley Research Center
Reactive Orthotropic Lattice Diffuser (ROLD) for Reducing Aerodynamic Noise from Aircraft Flap Tips,Biological Sciences,NASA Langley Research Center
Extreme Reduced Instruction Set Computing (xRISC) for High Speed Execution of Computing Algorithms,Chemical Sciences,NASA Langley Research Center
Height Control and Deposition Measurement for the Electron Beam Free Form Fabrication (EBF3) Process,Chemical Sciences,NASA Langley Research Center
Conductive Polymer/Carbon Nanotube Structural Materials and Methods for Making Same,Chemical Sciences,NASA Langley Research Center
Flexible Volumetric Structure,Other,NASA Langley Research Center
Ground-to-Space Laser Calibration System,Chemical Sciences,NASA Langley Research Center
Quasi-Static Electric Field Generator,Physical Sciences,NASA Langley Research Center
A Statistically Based Approach to Broadband Liner Design and Assessment,Other,NASA Langley Research Center
A Graphical Acoustic Liner Design and Analysis Tool,Chemical Sciences,NASA Langley Research Center
Tethered Vehicle Control and Tracking System,Other,NASA Langley Research Center
Airborne Wind Profiling Algorithm for Doppler Wind Lidar (APOLO),Other,NASA Langley Research Center
Method and System for Physiologically Modulating Action Role-playing Open World Video Games and Simulations Which Use Gesture and Body Image Sensing Control Input Devices,Chemical Sciences,NASA Langley Research Center
Airborne Doppler Wind Lidar Post Data Processing Software DAPS-LV,Technology,NASA Langley Research Center
Flap Edge Noise Reduction Fins (FENoRFins),Chemical Sciences,NASA Langley Research Center
In-Situ Load System (ILS) for Calibrating and Validating Aerodynamic Properties of Scaled Aircraft in Ground-based Aerospace Testing Applications,Chemical Sciences,NASA Langley Research Center
Modulated Sine Waves for Differential Absorption Measurements Using a CW Laser System,Chemical Sciences,NASA Langley Research Center
PS300 - Self Lubricating Readily Polished High Temperature Composite,Chemical Sciences,NASA Glenn Research Center
Gas Sensing Diode,Biological Sciences,NASA Glenn Research Center
A Real-Time Signal-To-Noise Ratio Estimation Technique For BPSK And QPSK Modulation Using The Active Communications Channel,Chemical Sciences,NASA Glenn Research Center
Lean Direct Injection Combustor/Multi Point Integrate Module Fuel-Air Mixer,Chemical Sciences,NASA Glenn Research Center
Method For Production Of Atomic Scale Step Height Reference Specimens With Atomically Flat Surfaces,Chemical Sciences,NASA Glenn Research Center
"Resilient, Flexible, Pressure-Activated Seal",Other,NASA Glenn Research Center
Radio Frequency (RF) Telemetry System For Sensors And Actuators,Mechanics,NASA Glenn Research Center
Common-Layered Architecture For Semiconductor Silicon Carbide (CLASSiC) Bulk Fabrication,Chemical Sciences,NASA Glenn Research Center
Acoustic Seal,Other,NASA Glenn Research Center
Mechanically Improved Interphase Coating For Silicon-Carbide Fiber-Reinforced Silicon-Carbide Matrix Composites,Chemical Sciences,NASA Glenn Research Center
MEMS Direct Chip Attach (MEMS-DCA) Packaging Methodologies For Harsh Environments,Other,NASA Glenn Research Center
MEMS Direct Chip Attach Packaging Methodologies And Apparatus For Harsh Environments,Other,NASA Glenn Research Center
Reverse-Bias Protected Solar Array With Integrated ByPass Battery,Physical Sciences,NASA Glenn Research Center
Reverse-Bias Protected Solar Array With Integrated ByPass Battery,Physical Sciences,NASA Glenn Research Center
Improved Processing For Polyimdes Via Concentrated Solid Monomer Reactants Approach,Chemical Sciences,NASA Glenn Research Center
A Comprehensive C++ Controller For A Magnetically Supported Vertical Rotor: Version 1.0,Chemical Sciences,NASA Glenn Research Center
Software For System For Controlling A Magnetically Levitated Rotor,Physical Sciences,NASA Glenn Research Center
Polyimide Rod-Coil Block Copolymers As Membrane Materials For Ion Conduction,Chemical Sciences,NASA Glenn Research Center
Process For Improving Properties Of Silicon Carbide (SiC) Fibers And SiC Fiber-Reinforced Ceramic Matrix Composites,Chemical Sciences,NASA Glenn Research Center
Process For Improving Properties Of Silicon Carbide (SiC) Fibers And SiC Fiber-Reinforced Ceramic Matrix Composites,Chemical Sciences,NASA Glenn Research Center
Temporal Laser Pulse Manipulation Using Multiple Optical Ring Cavities,Chemical Sciences,NASA Glenn Research Center
Wireless Consumer Power,Chemical Sciences,NASA Glenn Research Center
Compact Solid-state Entangled Photon Source,Chemical Sciences,NASA Glenn Research Center
Hand Held Device For Wireless Powering And Interrogation Of  BioMEMS Sensors And Actuators,Mechanics,NASA Glenn Research Center
Tracking Of Cells With A Compact Microscope Imaging System Using Intelligent Controls,Other,NASA Glenn Research Center
"Self-Sealing, Smart, Variable Area Nozzle (S3VAN) For Dynamic Flow Control In Gas Turbine Engines",Physical Sciences,NASA Glenn Research Center
Selective Wavelength Filtering,Physical Sciences,NASA Glenn Research Center
Torsional Magnetorheological Fluid  Resistant Device (TMRFRD),Chemical Sciences,NASA Glenn Research Center
Flow-Field Control-Rods To Stabilize Flow In A Centrifugal Compressor,Chemical Sciences,NASA Glenn Research Center
